"","축제명","축제시작일자","축제종료일자","주소","LON","LAT","gigan","bigo","mm","yy","day_week"
"468","의왕철도축제",2019-05-04,2019-05-05,"경기도",37.30712099,126.952258,2,"50일미만",5,2019,"토"
"469","의왕백운예술제",2019-09-21,2019-09-22,"경기도",37.38288932,127.0012786,2,"50일미만",9,2019,"토"
"470","반딧불축제",2019-08-31,2019-09-08,"전라북도",36.00236061,127.6625302,9,"50일미만",8,2019,"토"
"471","전주대사습놀이",2018-06-15,2018-06-18,"전라북도",35.8490089,127.11964,4,"50일미만",6,2018,"금"
"472","전주세계소리축제",2018-10-03,2018-10-07,"전라북도",35.8239265,127.1315694,5,"50일미만",10,2018,"수"
"473","전주단오축제",2018-06-17,2018-06-18,"전라북도",35.8382201,127.125162,2,"50일미만",6,2018,"일"
"474","제19회 전주국제영화제",2018-05-03,2018-05-12,"전라북도",35.8208219,127.143647,10,"50일미만",5,2018,"목"
"475","2018 전주비빔밥축제",2018-10-25,2018-10-28,"전라북도",35.8206764,127.1482821,4,"50일미만",10,2018,"목"
"476","전주한지문화축제",2018-05-05,2018-05-07,"전라북도",35.8206764,127.1482821,3,"50일미만",5,2018,"토"
"477","전주국제발효식품엑스포",2018-10-25,2018-10-29,"전라북도",35.8389558,127.130912,5,"50일미만",10,2018,"목"
"478","제32회 해운대북극곰수영축제",2019-01-05,2019-01-06,"부산광역시",35.1583123,129.1577913,2,"50일미만",1,2019,"토"
"479","제37회 해운대달맞이온천축제",2019-02-17,2019-02-19,"부산광역시",35.1583123,129.1577913,3,"50일미만",2,2019,"일"
